Operator,Strings,Integers/floats,Boolean
"`=`","Assigns a string to a variable name","Assigns a number to a variable name","Assigns a boolean to a variable name"
"`+`","Concatenate (combine) strings","Add two numbers","*NA*"
"`-`","*NA*","Subtract two numbers","*NA*"
"`*`","Repeat a string N times, where N is an integer","Multiply two numbers","*NA*"
"`/`","*NA*","Divide two numbers, returning a decimal","*NA*"
"`**`","*NA*","Exponentiation (raise to the power of)","*NA*"
"`//`","*NA*","Divide two numbers, rounding down to return an integer","*NA*"
"`%`","*NA*","Divide two numbers, returning the remainder as an integer","*NA*"
"`in`","Checks if one string is contained in another, returning a boolean","*NA*","*NA*"
"`and`","*NA*","*NA*","Returns `True` if both conditions are `True`, otherwise `False`"
"`or`","*NA*","*NA*","Returns `True` if at least one condition is `True`, otherwise `False`"
"`not`","*NA*","*NA*","Negates a boolean (e.g. returns `True` if `False` is input and vice versa)"
"`==`","Compares 2 strings and returns `True` if they are identical, `False` otherwise","Compares two numbers and returns `True` if they are identical, `False` otherwise","Compares two booleans and returns `True` if they are identical, `False` otherwise"
"`!=`","Returns `True` if two strings are **not** identical, `False` otherwise","Returns `True` if two numbers are **not** identical, `False` otherwise","Returns `True` if two booleans are **not** identical, `False` otherwise"
