gene_id	gene_name	SRR1576457	SRR1576458	SRR1576459	SRR1576460	SRR1576461	SRR1576462	SRR1576463	SRR1576464	SRR1576465	SRR1576514	SRR1576515	SRR1576516
FBgn0000003	7SLRNA:CR32864	478	0	244.815	429.737	333	956	638	0	348	532	55.615	333
FBgn0000008	a	653	483	691	575.999	497	577	671	606	579.001	507	429	472
FBgn0000014	abd-A	536	414.001	563	587	496	565	578	645	522	571	475	502
FBgn0000015	Abd-B	615	562	703.001	681.001	611	703	725.999	712.001	660.999	654	494.999	572.001
FBgn0000017	Abl	1854.533	1381.783	1941.276	1815.993	1646.271	1857.078	2012.12	1666.408	1623.621	1558.945	1274.236	1455.402
FBgn0000018	abo	242	205	272	235	208	276	275	252	236	260	238	211
FBgn0000022	ac	0	0	0	0	1	1	1	0	0	0	0	1
FBgn0000024	Ace	2671	1795.001	2119	2708.999	2157	2803	2853.999	2248	2152.001	2180.001	1708	1717
FBgn0000028	acj6	343	354	391	366.001	368	444	351	343	304	324	300	420
FBgn0000032	Acph-1	485	448	634	445	488	548	514	561	573	584	533	418
FBgn0000036	nAChRalpha1	840	700	902	845	865	982	1134	1317	1070	646	489	497
FBgn0000037	mAChR-A	494	381	484	515	379	531	545	506	446	310	236	258
FBgn0000038	nAChRbeta1	1855	1619	1934	1464	1302	1588	2078	2255	1710	1435	1121	1261
FBgn0000039	nAChRalpha2	199	134	170	192	171	167	258	227	220	120	98	116
FBgn0000042	Act5C	45244	36128	43907.999	45629.001	41397	47679	46887	34761.831	36575.999	45435	38638	38985
FBgn0000043	Act42A	5662	5103	6866	4691	5646	6038	5545	5819	6025	6555	5447	4997
FBgn0000044	Act57B	60069	61333	63352.23	48881.99	44579	42135	62321	56299	51358	46810	37212	45495
FBgn0000045	Act79B	116106	117376	140103.77	59809	54091	54110	114377	94686	90515	57761	47180	51826
FBgn0000046	Act87E	35622	36639	40433	29303.001	26103	27071	34134	28174.099	28223	26252	21461	28052
FBgn0000047	Act88F	33388	6979	15831	13415.01	10578	12282	44208	14459.069	23592	17051	12903	11946
FBgn0000052	Pfas	1555	1213	1470	1634	1505	1764	1428	1080	1064	1527	1468	1236
FBgn0000053	Gart	1462	827	1182	1706	1331	1723	1360	1132	1155.999	1599	1499	1060
FBgn0000055	Adh	67895.001	45211.254	64327.999	104961	92389	98315	73582.365	62927.952	60943.188	111605.277	103864	92058.617
FBgn0000056	Adhr	172.999	124.746	0	0	0	0	139.635	234.048	168.812	344.723	0	174.383
FBgn0000057	adp	1176	954	1434	1172	1264	1310	1179	1088	1080	1494	1124	1108
FBgn0000061	al	17	14	17	14	16	12	17	14	13	20	15	16
FBgn0000063	Mps1	281	282	337	286	294	277	382	350	310	378	355	400
FBgn0000064	Ald1	97694.983	51589	71871	107991.788	104407.001	107552.984	116285.998	69532.986	81757.998	125461.995	108525.858	96427.967
FBgn0000071	Ama	10	9	34	11	6	12	7	10	6	3	9	9
FBgn0000075	amd	36	36	43	31	32	41	49	52	25	28	29	37
FBgn0000077	amx	112	73	121	113	140	128	134	108	147	145	101	92
FBgn0000078	Amy-d	24328.863	7719.092	11830.355	42143.377	20479.659	25853.661	15680.196	8200.464	5782.322	22505.333	15587.249	13439.146
FBgn0000079	Amy-p	62921.137	20317.908	26736.645	81693.623	54814.342	61607.338	35369.804	17463.536	15912.678	54477.667	47940.751	37306.854
FBgn0000083	AnxB9	4457.192	3003.076	4138.972	4642.275	4646.455	4595.652	4154.945	3796.687	3574.471	4925.034	3458.963	3278.332
FBgn0000084	AnxB10	1377.88	996.064	1391.246	1015.467	891.586	1023	1550.323	1341.938	1305.56	1206.886	1008.747	762.82
FBgn0000092	dyw	41	17	25	33	48	38	35	35	23	35	44	39
FBgn0000094	Anp	2252	2267	3179	3472	4378	5261	2961	5288	6004	7525	6377	3731
FBgn0000097	aop	1522.171	1014.806	1200.355	2074.833	1587.811	1796.327	1610.935	1131.235	1116.13	1547.145	1360.665	1461.114
FBgn0000100	RpLP0	23122	17014	23100	25862	26656	28959	22189	19416	20042	29224	24677	22256
FBgn0000108	Appl	5224	3651	4809.999	4871	4014.001	4949	6656.001	5915	5141.999	3481.001	2711	2610
FBgn0000109	Aprt	107	87	133	105	119	131	121	134	103	125	127	70.999
FBgn0000114	bru1	15608.999	14205.999	18441	15546.999	14344.999	15865	14867.001	14338	14234.999	16225	13578	16846
FBgn0000115	Arl1	1122	876	1260	1101	1124	1051	1128	1001	986	1117	905	1018
FBgn0000116	Argk1	104360	78836	102788	95123	91367.002	91984	118707.001	93748.999	95807	103367	87464	83495
FBgn0000117	arm	5103.999	3582	4801.999	5033.999	4205	4800	5289	4391	4248.001	4731.001	4082	3665.999
FBgn0000119	arr	753	521	745	829	823	862	675	563	621	845	641	630
FBgn0000120	Arr1	17758	11135	16046	13839	10858.999	15111.001	21575	19408.999	18585	9881	7388	4966
FBgn0000121	Arr2	16731	10838	16092	17770	14472	18108	22268	20106	19797	13669	9506	8213
FBgn0000137	ase	3	0	2	4	0	4	2	0	1	2	0	1
FBgn0000139	ash2	413.001	327	445	490	459	542	440.001	471	447	618	448	419
FBgn0000140	asp	956	833	1143	1033	1014	1181	977	1007	995	1188	1081	1069
FBgn0000146	aub	191	181	223	158	160	133	220	232	203	172	136	150
FBgn0000147	aurA	542	531	692	572	615	666	616	854	642	867	746	616
FBgn0000150	awd	9344	7487.001	9760	6790	6109	8205	9903	8831	7389.999	6748	5464.999	4232
FBgn0000152	Axs	289.05	291.672	274.576	301.068	246.167	250.47	363.239	368.54	337.577	319.454	229.6	219.658
FBgn0000153	b	1747	773	1103	1513.999	1420.001	1371	1932	1170	1366	1485	1240	1186.001
FBgn0000157	Dll	306	248	245	324	246	277	335.999	304	273	274	226	211
FBgn0000158	bam	25	26	27	23	22	23	28	39	32	25	22	32
FBgn0000163	baz	2042	1278	1785	2414	2003	2157	2225	1663	1738	2517	2054	1765
FBgn0000166	bcd	6.404	9.525	9.048	5.651	4.269	9.053	5.397	2.328	8.614	10.177	11.537	9.608
FBgn0000173	ben	1964.001	1593.001	1817.999	2102.001	2383.999	2365	2236	2318	2260.999	2161	1944	1857.999
FBgn0000179	bi	214	170	196	230	186	263	279	225	253	199	139	113
FBgn0000180	bib	138	118	147	116	108	102	152	120	129	137	111	134
FBgn0000181	bic	12229	9562	12024	12541	11950	12648	11521	10517	10456	11458	10359	10417
FBgn0000182	BicC	3250.094	2965.088	4183	3482.699	3647	3553.838	2905.798	3061	3142	3709	3197.031	3507
FBgn0000183	BicD	1684	1121	1642	2050	1640	1863.999	1742.999	1455	1414	1879	1420	1519
FBgn0000206	boss	713	492	576	614	433	530	1028	748	756	363	238	287
FBgn0000212	brm	1322	911.999	1233	1505	1311	1335	1348	944	1040	1196	901	1110.999
FBgn0000216	Brd	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000221	brn	113	85	152	115	125	137	120	131	143	124	98	68
FBgn0000227	Elba1	0	0	0	0	1	0	0	0	1	0	0	0
FBgn0000228	Nin	993.999	635	929	1102	945	1023	1085	839	863	1048	763	841
FBgn0000229	bsk	836	629	874	872	831	812	1048	959.999	963	869	728	620
FBgn0000233	btd	30	27	26	42	36	24	31	37	27	40	29	30
FBgn0000239	bur	2196.408	1728.082	2435.165	2434.095	2315.836	2519.126	2148.621	2179.283	2167.758	2550.452	2111.059	2055.468
FBgn0000241	bw	98.069	53.395	93.263	146.504	116.824	114.384	118.745	114.218	82.261	118.858	60.957	67.375
FBgn0000244	by	2615	1824	2514	2862	2737	2849	2773	2229	2190.999	3288	2543.999	2516
FBgn0000246	c(3)G	95	93	136	94	112	125	142	145	163	113	99	112
FBgn0000247	ca	1680.706	1400.199	1792.885	1775.158	1600.648	1734.599	1761.504	1560.076	1476.794	1948.941	1564.103	1568.734
FBgn0000250	cact	4086	3013	3798.999	4231.999	3698	3945.001	4368.001	3483.999	3415	4715.999	3715.999	3824
FBgn0000251	cad	1997	1930	2378	2062	1879	1970	2051	1871	1883	1979	1726	2026
FBgn0000253	Cam	39054.261	33016.761	41619.406	39014.537	37018.163	40173.491	44424.854	42038.852	38292.397	36923.467	28947.454	31628.755
FBgn0000256	capu	9658.001	8245.001	11348	8960.999	8717.001	9283	8527.999	8866	8844.999	9504	7970	8681.002
FBgn0000257	car	304	202	375	307	297	310	350	314	319	354	258	258
FBgn0000259	CkIIbeta	3637	3096.001	3825	3647.999	3214.001	3715.999	3772.001	3376	3298.999	3486.001	2804.999	3378
FBgn0000261	Cat	25484	20297	24313	25481	22417	26163	26751	20216	21540	26602	23001	23451
FBgn0000273	Pka-C1	8180	6142	7788	8757	7147	8198	9345	7640	7075	8002	6492	6116
FBgn0000274	Pka-C2	1079	1051	1325	1017	1087	1289	1090	1247	1132	1460	1354	1122
FBgn0000276	CecA1	486	425	659	462.112	669	566	438	463	492	406	444	335
FBgn0000277	CecA2	162	58	132	133.888	198	93	152	119	197	82	120	68
FBgn0000278	CecB	12	2	6	14	22	14	24	6	18	12	15	10
FBgn0000279	CecC	18	9	13	66	76	49	48	12	64	45	42	20
FBgn0000280	Cec-Psi1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000281	Cec2	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000283	Cp190	1670	1215	1694	1878	1588	1689	1731	1308	1383	1588	1227	1513
FBgn0000286	Cf2	4627.001	3200.999	4574	4201	3112	3532	5682	3770.999	4844.001	5073	4122.001	4263
FBgn0000287	salr	564	484	664	688.001	652.999	749	613	643	567.001	762	657	720
FBgn0000289	cg	2523.999	2044	2539.999	3178.999	2691.001	3003.001	2832.001	2313.001	2286	2716.999	2262	2542
FBgn0000299	Col4a1	6318.001	3677.001	4575	6927	4936	4691	5763	4085.999	4279	6540	4850	4430
FBgn0000303	ChAT	543.048	385.315	609.795	436.382	477.83	501.08	681.443	716.3	653.343	474.77	310.865	351.007
FBgn0000307	chif	1343.264	903.301	1203.9	1463.489	1231.396	1343.621	1384.456	1115.224	1054.124	1342.132	1015.364	1307.652
FBgn0000308	chic	13996.999	12149	14845.001	15730	14961	16114	14555	13157.001	12652	14764.999	14441	14445
FBgn0000316	cin	255	216	290	277	264	301	305	322	309	390	267	198
FBgn0000317	ck	758	459	751.001	795	708	882	866	696	678	927	718	618
FBgn0000318	cl	2777.001	2428.999	2956.98	2823.985	2857.99	2712.987	2558	2169	2453.001	2778.998	2287.997	2548.995
FBgn0000319	Chc	5518	3404	5350	6110.999	5679.999	6231	6237	4994	4942.001	7338	5199.001	4310
FBgn0000320	eya	606.001	471.999	673	607	533.999	550	615.001	625	594.999	614	503	470
FBgn0000326	clt	347	254	387	401	390	415	348	347	315	443	335	286
FBgn0000330	cm	395	290	336	404	338	368	403	343	363	373	268	245
FBgn0000337	cn	7.264	3.864	6.956	11.915	12.433	5.986	9.709	5.054	13.435	10.843	14.064	6.749
FBgn0000339	cni	834	651	1011	592	651.001	710	1095.999	1240	1205	940	693	530
FBgn0000346	comt	1636	1227	1781	1270	1271	1396	1910	2032	1703	1358	1032	957
FBgn0000351	cort	15	21	20	19	20	15	14	15	17	25	17	9
FBgn0000352	cos	413	302	396	351	312	343	423	347	378	324	234	265
FBgn0000355	Cp15	19	15	24	11	15	24	21	31	19	35	17	12
FBgn0000356	Cp16	2	0	0	1	0	1	1	1	0	0	0	1
FBgn0000357	Cp18	30	33	43	17	19	11	29	23	17	19	21	21
FBgn0000358	Cp19	1	1	0	2	2	2	3	1	0	0	0	1
FBgn0000359	Cp36	3	0	1	0	1	0	0	0	0	0	0	0
FBgn0000360	Cp38	4	0	4	0	4	4	1	0	0	0	1	0
FBgn0000370	crc	22046.136	16539.779	21330.365	30827.574	23791.986	28685.542	23656.907	18871.415	19051.944	25704.661	20378.053	21874.49
FBgn0000376	crm	354	250	329	351	364	349	363	309	307	347	253	289
FBgn0000377	crn	298	198	323	338	313	301	329	293	275	321	261	266
FBgn0000382	csw	4394	3256	4215	4902.001	4225	4613	5041	4107	4134.001	4650	3696	3991.001
FBgn0000384	cta	358.823	290.481	416.316	373.432	416.994	446.906	469.882	522.053	468.252	508.064	447.515	340.368
FBgn0000392	cup	4545.283	4097.328	5766.391	5180.481	5088.233	5765.196	4106.444	4032.542	4016.202	5572.856	4979.7	5213.714
FBgn0000394	cv	619.415	384.586	472.032	603.121	560.544	610.811	598.924	488.562	481.065	525.399	443.278	496.308
FBgn0000395	cv-2	547	446	566	572	501	513	525	588	497	513	454	429
FBgn0000404	CycA	1068	953	1364	958	1046	1188	1080	1047	1069	1186	950	1125
FBgn0000405	CycB	1299	1217	1729	1266	1619	1622	1236	1350.001	1414	1804	1520	1347
FBgn0000406	Cyt-b5-r	8394	5568	6399	11036	7448	9506	7318	5812	5877	8537	7890	6501
FBgn0000411	D	312	266	340.001	341	339	430.999	405	345	335	338	305	336
FBgn0000412	D1	2744	2480	3258	3092	3131	3086.999	2745	2897	2877.999	3220	2660	2757
FBgn0000414	Dab	1801	1282.001	1767.999	1994	1641	2011	1870	1589.001	1539.999	1864	1460.001	1439
FBgn0000416	Sap-r	23403	14848	21808	25518	24546	27839	24163	18622	19234	29701	22625	20513
FBgn0000422	Ddc	1437	1177	1581	1191	1195.999	1262	1672	1692	1588	1388.001	1039	893
FBgn0000426	SmF	228	263	262	201	246	229	233	230	222	165	162	206
FBgn0000427	dec	34	43.965	41.437	34.66	41.633	36.615	44	25.832	43.91	35.353	32.726	33
FBgn0000439	Dfd	43	56	47	58	55	56	76	67	43	47	27	33
FBgn0000442	Pkg21D	392.526	290.927	405.587	267.901	290.487	288.225	328.412	388.02	344.492	311.775	227.655	220.392
FBgn0000447	Dhod	1711	1387	2123	1506	1937	1888	1727	1989	1917	2314	1830	1436
FBgn0000448	Hr3	874.908	664	826.874	839.774	722.738	923	1123	1056.844	948.871	610	580	558
FBgn0000449	dib	4.068	4.94	7.721	2.582	3.239	5.222	7.932	6.007	7.853	3.012	3.434	3.981
FBgn0000451	ect	231	174	185	237	207	200.001	188	166	147	170.001	139	174
FBgn0000454	Dip-B	3618.001	3122	3735.001	3626	3565	3854.001	3397	2909.001	2761.001	3711	2880	2886
FBgn0000455	Dip-C	1204	790	1317	1081	1138	1089	1296	1076	1149	1421	1083	884
FBgn0000459	disco	325	210	273	396	296	339	329	266	234	268	264	273
FBgn0000463	Delta	256	179	266	292	330	314	313	253	253	297	268	202
FBgn0000464	Lar	1134.499	860.45	1507.999	1587.001	1169.505	1843.001	1537.778	1079.528	1025.58	1020.88	1072	748.609
FBgn0000473	Cyp6a2	2918	2082	2434	3512	3665	3607	2270	1572	1341	2778	2128	1687
FBgn0000477	DNaseII	1213	903	1070	1593	1365	1650	1273	750	768	1340	1224	897
FBgn0000479	dnc	7056	7130	7889.999	7724.998	7770	7792	9142	9608.001	8021.001	9006.002	7170.001	5912
FBgn0000482	dor	419	278	390	451	392	440	397	364	343	426	353	353
FBgn0000489	Pka-C3	4740	4616	5417	4941	4819	4942	5170	4667	4624	5555	4612	5052
FBgn0000490	dpp	755	588	754.999	678.999	614	720	823	708	707	684	573	558
FBgn0000492	Dr	298	248	315	298	236	275	321	268	268	256	228	195
FBgn0000499	dsh	2228	1892	2631	2468	2448	2477	2198	2017	2101	2416	2165	2492
FBgn0000500	Dsk	79	52	87	98	107	145	110	108	132	100	70	57
FBgn0000504	dsx	1767	1329	1517	1743	1421	1584	1765	1478	1235	2034.622	1651	1791
FBgn0000520	dwg	172	115	180	174	162	190	172	133	154	119	99	123
FBgn0000524	dx	460	353	387	442	382	410	419	301	315	421	326	392
FBgn0000527	e	769	467	686	810	554	704	830	521	578	499	395	395
FBgn0000529	bsh	18	8	13	15	14	22	30	12	17	9	4	6
FBgn0000533	ea	171	119	167	198	159	161	216	163	177	198	181	155
FBgn0000535	eag	878.999	655	817	879	728	861	1031	1110.999	886.999	736	563	602
FBgn0000536	eas	1694.999	1143	1790	2039.999	1836	2045	2034	1892.998	1895.001	2449	2119	1669
FBgn0000541	E(bx)	3948.001	3033.001	4187	4705.001	4061	4791	4033	3450.001	3456	4562	3836.001	4349.999
FBgn0000542	ec	444.447	291.039	406.804	411	309	349.044	421.098	330.552	323.702	333.013	280.026	334.021
FBgn0000543	ecd	574	429	597	511	425	520	635	557	491	573	441	422
FBgn0000546	EcR	895.001	541	794.999	863.001	695.999	740.001	1014.999	827	787.999	727	573	548
FBgn0000547	ed	1937	1383	1907	2065.999	1829	2121	2488	2198	2195.518	2350	1748	1356
FBgn0000551	Edg78E	15	11	11	16	8	20	19	25	10	13	28	22
FBgn0000552	Edg84A	1	1	1	2	1	0	0	2	0	0	2	3
FBgn0000557	eEF1alpha2	8453	6652	8640	10060.001	9213.999	9303	10030.999	9172	8485	8916	7032.001	6963
FBgn0000559	eEF2	81125	59219	79181	76478	75125	84362	77838	62311	67026	87302	74453.001	66075
FBgn0000560	eg	68	66	84	70	66	76	71	79	70	81	66	71
FBgn0000562	egl	2418	1571	2101	3068	2474	2718	2622	1954	1784	3038	2285	2252
FBgn0000564	Eh	1	2	2	0	0	0	1	1	0	0	1	1
FBgn0000565	MsrA	1583	935	1629	1565	1526	1442.001	1526	1193.999	1315.999	1279.999	831	842.999
FBgn0000566	Cth	806	672	910	797	884	849	915	817	841	999	793	705
FBgn0000567	Eip74EF	874	650	865	826	650.001	773	967	703	824	696.001	584	639
FBgn0000568	Eip75B	3021	2085.001	2862.999	4136	3492.001	3988.999	3773.999	3085	2984.001	4049	2991	3107
FBgn0000575	emc	2970	1958	2484	2899	2634	3337	3272	2474	2442	3119	2583	2611
FBgn0000576	ems	58	44	43	58	48	65	66	54	60	48	38	38
FBgn0000577	en	267	230	268	280	286	331	168	204	200	259	208	263
FBgn0000578	ena	1079.002	776	983	1116	857	1016	1049	912	936.001	1104	889.001	876
FBgn0000579	Eno	55895.923	26146.175	41780	46026.226	45592.042	47976.283	64336.116	34765.164	43260.061	56985.92	49286.247	42478.614
FBgn0000581	E(Pc)	2572	2056	2649.001	2964.001	2521	3058	2589	2210.999	2183.001	2531.001	2185.001	2482.999
FBgn0000588	esc	95	62	92	86	72	97	91	98	82	68	66	70
FBgn0000591	E(spl)m8-HLH	0	0	2	0	0	0	0	0	0	0	0	0
FBgn0000592	Est-6	16941	10810	19571	15952	13946	16424	19107	17259	14165	17352	12903	10648
FBgn0000594	Est-P	11.367	3.16	11.026	2.968	5.439	9.766	13.756	20.902	13.729	15.688	16.014	7.62
FBgn0000606	eve	16.999	7.996	12.888	19.998	10.996	13.977	12.999	15.204	17.882	8.998	9.997	17.994
FBgn0000611	exd	1993	1278.999	1968	2177.001	1951.001	2051	2354	1644	1761	2393.999	1896	1521.001
FBgn0000615	exu	21921.978	20229.626	27616.957	21825.915	24737.938	26724.525	20848.594	25409.975	23688.512	31786.352	27409.888	26654.934
FBgn0000617	Taf9	276	208	283	192	191	156	287	216	234	206	139	133
FBgn0000618	e(y)2	103	80	158	108	145	161	140	117	127	91	116	116
FBgn0000625	eyg	189	143	174	107	127	117	161	149	141	136	122	112
FBgn0000629	E(z)	389	309.001	489	378.999	442	437	417	408	396	424	338	273
FBgn0000633	tei	412	373	401	451	308	437	503	471	464	366	319	349
FBgn0000635	Fas2	3175	2416	3061.001	3461	3109	3566.001	3863	2812.001	2962	3697	3039	2808
FBgn0000636	Fas3	1521.001	1053	1376	1638.002	1503	1518.001	1630	1279.001	1242	1668	1283	1232
FBgn0000639	Fbp1	35	17	69	32	3	30	38	142	68	5	16	9
FBgn0000640	Fbp2	51	28	125	16	7	19	43	18	39	19	28	26
FBgn0000644	Fcp3C	14	9	12	9	7	7	16	5	7	8	8	7
FBgn0000658	fj	145	89	122	79	72	74	187	103	132	89	74	74
FBgn0000659	fkh	1924	1376	1745	2050	1798	2018	2018	1481	1459	1957	1614	1497
FBgn0000662	fl(2)d	1283	1035	1258	1357.999	1216	1286.999	1206	957	1016.001	1217.999	1019	1150.999
FBgn0000667	Actn	23353.43	17653.936	22478.007	17754.326	15255.19	14031.598	26736.665	19431.511	18639.674	16822.097	12479.675	14780.995
FBgn0000709	fliI	483	361	573	531	535	617	585	520	501	606	445	403
FBgn0000711	flw	2268	1921.999	2382.999	2376	2324.001	2600	2713	2529	2303.999	2712	2173.001	1907
FBgn0000715	FMRFa	122	102	145	112	102	103	128	145	151	109	88	68
FBgn0000719	fog	848.001	580.999	727.001	925.001	760	849	930.001	812	790	1089	860.999	803
FBgn0000721	for	5146.001	3391.999	4748	5978	5483	6064	4705.999	3428.001	3846.002	5705.001	4659	4715.999
FBgn0000723	FER	1443.582	1090.335	1453.624	1317.558	1446.676	1488.564	1555.336	1385.297	1238.226	1709.169	1273.026	1134.31
FBgn0000808	gd	6	7	4	12	13	12	13	7	6	8	9	8
FBgn0000810	fs(1)K10	558	460	551	499	423	439	610	543	502	513	405	414
FBgn0000826	png	11	15	15	13	18	18	10	12	13	23	12	14
FBgn0000927	fs(1)Ya	22	9	28	14	14	16	24	23	24	17	11	16
FBgn0000928	fs(1)Yb	64	37	78	52	69	56	53	71	57	82	45	56
FBgn0000964	tj	89	60	62	89	68	80	88	86	78	54	42	60
FBgn0000996	dup	283	256	317	245	255	240	284	261	266	263	181	209
FBgn0001075	ft	299	235	306	534	377	590	482	457	447	569	555	646
FBgn0001077	ftz	20	15	26	94	92	114	21	19	15	83	85	96
FBgn0001078	ftz-f1	1264.779	779.999	1068.17	1459.333	1213.098	1162.112	1409.059	1033.369	1082.899	1134.542	877.218	944.309
FBgn0001079	fu	189	150	194	163	173	167	206	147.408	171	154	133	142
FBgn0001083	fw	191	97	174	138	106	126	198	136	160	132	92	89
FBgn0001084	fy	72	38	73	68	69	74	73	87	82	57	49	58
FBgn0001085	fz	134	88	152	143	121	148	153	210	172	154	114	99
FBgn0001086	fzy	510	484	670	489	522	600	523	502	577	669	597	579
FBgn0001087	g	1069.001	777	1049	1093.999	1032.999	1107	1186	893	930	968	783	977
FBgn0001089	Gal	1812.989	952.991	1324.186	1235.397	1244.147	1450.373	1513.191	867.301	909.531	1604.815	1269.201	849.768
FBgn0001090	bnb	3498	2202	2573.999	3604.999	2875.999	3267	3661	2205	2119	2529	2327	2533.001
FBgn0001091	Gapdh1	70427	28805	53180	67061	64054	60555	82163	45291	59792	78806	67247	64987
FBgn0001092	Gapdh2	33184	19720	26647	27521	24221	26175	36546	25302	26359	26646	21708	21715
FBgn0001098	Gdh	21256	15299	18108	23917	20279	23414.999	21363.001	14834.999	14434	22581	20002	21640
FBgn0001099	gdl	2887.207	2243.302	3510.37	2922.147	3202.576	3401.215	2506.338	3007.253	3100.429	3928.381	3347.694	2577.133
FBgn0001104	Galphai	742	540	764	873	839	889	802	659	635	925	692	669
FBgn0001105	Gbeta13F	5935.999	5206	7159.002	6517.001	6500.001	7181.999	7277.001	7625.001	7112.999	6860	5674.998	5182
FBgn0001108	DCTN1-p150	1657	1071	1580	1740	1705	1773	1786	1367	1414	2116	1424	1354
FBgn0001112	Gld	1741	1166	2167	2107	1928	1982	2243	1894	1780	2554	2331	1723
FBgn0001114	Glt	8094	4564	5683	9211	6171	7815	7314	3966	4421	7120	6232	6550
FBgn0001120	gnu	5	2	2	4	1	1	2	13	3	3	1	4
FBgn0001122	Galphao	2948	2294	2794	3028	2352	3202.001	3660	3217	2946	2388	1775.999	2031
FBgn0001123	Galphas	1072	713.999	1111	1187	1155	1190.999	1357.999	1164	1144.999	1357	1054.001	900.999
FBgn0001124	Got1	6357	5228	7260	6015	6184	7104	6746	6935	6611	8246	6695	5230
FBgn0001125	Got2	6502	4511	7516	7231	7902	8277	5903	5451	5475	7555	6524	4915
FBgn0001128	Gpdh1	30839.331	13776.65	20210.969	24599.082	23476.468	24099.887	31237.7	18058.001	20109.533	28197.423	23467.545	22090.412
FBgn0001133	grau	338	220	330	272	330	290	269	249	307	363	221	241
FBgn0001134	Grd	66.288	59.605	57.595	69.136	49.903	63.524	85.243	52.04	46.299	40.189	27.433	32.716
FBgn0001137	grk	561.657	435.311	586.91	523.135	484.17	433.875	680.194	565.759	528.458	553.668	441.611	411.863
FBgn0001138	grn	71	57	64	95	94	83	104	86	76	87	65	49
FBgn0001139	gro	2457.001	2054	2664.988	2332	2429.999	2526.001	2581	2305	2289	2503.001	2112	2076.999
FBgn0001142	Gs1	3474	2230.999	3365.999	3606	2844.001	3384	3003	2299	2303	2736	2238.001	2131
FBgn0001145	Gs2	18880	11327	13612	19553	16202	18333.001	21849.001	13589	13721.001	17823.001	14521	13032
FBgn0001147	gsb-n	171	130	202	139	134	152	153	187	189	157	165	125
FBgn0001148	gsb	57	39	77	36	42	46	54	65	52	40	24	26
FBgn0001149	GstD1	19352	15103	18184	16754	15457	17346	17263	15694	13382	13316	10721	10471
FBgn0001150	gt	67	77	57	40	36	34	52	60	57	41	17	36
FBgn0001168	hry	3344	2606	3143	3158	3099	3578	3463	3158	2873	3870	3467	3234
FBgn0001169	H	932.001	686.001	899	1014	821.999	993	938	733	767	880.001	824	870
FBgn0001170	H2.0	19	11	21	22	17	22	26	10	9	21	19	23
FBgn0001174	halo	2	2	3	7	5	1	0	1	1	3	1	5
FBgn0001179	hay	346	265	409	368	329	369	407	414	400	426	320	343
FBgn0001180	hb	310	274	317	278	229	243	374	297	252	240	207	255
FBgn0001185	her	225	179	261	211	246	227	297	266	218	251	231	187
FBgn0001186	Hex-A	14241	9822	11933	13310	12998	14103.999	15965	12391.001	12239	15129	12634.001	12752
FBgn0001187	Hex-C	2857	2028	3339	3143	3393	3344	2898	2733	2688	3439	2622	2414
FBgn0001189	hfw	1380	847.943	1077.017	1445	1159.001	1392.027	1344.947	928.846	966.407	1384.001	1172.065	1249
